Title,Cost,Description,Photos,Brand,Category,Id
Cocoa Shea Tub Kit," 1,120.00","300ml Bath & Shower Gel. Empower your body and skin with the finest shower essentials, every morning.
125ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you
100gm Body polish that natural exfoliating bead that is smooth and gives balanced exfoliation without being harsh to the skin.
100gm Sugar body scrub that gives your skin a gentle exfoliation, evens out skin tone and helps it become brighter and lighter
We love animals and so we Do Not Test our products on Animals.
Free of Sulphates, Paraben, and other harmful ingredients. It is suitable for all skin types.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC064991080_8081474d-f85c-41c6-b134-4fa8bb4db8ef_1024x.jpg?v=1661589322
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04266_1024x.jpg?v=1661589322
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06371-1edit1080_1024x.jpg?v=1661589322
https://bryanandcandy.com/cdn/shop/products/CopyofDSC00285_1024x.jpg?v=1661589322
https://bryanandcandy.com/cdn/shop/products/CopyofCopyofDSC04275_1024x.jpg?v=1661589322
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06381-1_1024x.jpg?v=1661589322
https://bryanandcandy.com/cdn/shop/products/CopyofDSC000181080_1024x.jpg?v=1661589322",Bryan & Candy,Gifting,14870279946325
Strawberry Tub Kit," 1,120.00","Strawberry 300ml Bath & Shower Gel. Empower your body and skin with the finest shower essentials, every morning.
Strawberry 125ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you
Strawberry 100gm Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.
Strawberry 100gm Sugar body scrub that gives your skin gentle exfoliation, evens out skin tone and helps it become brighter and lighter.
We do not test our products on Animals","https://bryanandcandy.com/cdn/shop/products/Copyof20220306-DSC02485_1024x.jpg?v=1652163935
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC03787_1024x.jpg?v=1653290478
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04344_1024x.jpg?v=1653290478
https://bryanandcandy.com/cdn/shop/products/CopyofDSC06377_1024x.jpg?v=1653290478
https://bryanandcandy.com/cdn/shop/products/CopyofDSC07053_1024x.jpg?v=1653290478
https://bryanandcandy.com/cdn/shop/products/CopyofDSC07203_1024x.jpg?v=1653290478
https://bryanandcandy.com/cdn/shop/products/DSC06779_1024x.jpg?v=1653290478",Bryan & Candy,Gifting,14870279946325
Delicate Rose Tub Kit," 1,120.00","Delicate Rose  300ml Bath & Shower Gel. Empower your body and skin with the finest shower essentials, every morning.
Delicate Rose 100gm Body butter will alleviate the effects of unkind weather and bring out a bright and sparkling you
Delicate Rose 125 ml Face wash that natural exfoliating bead is smooth and gives balanced exfoliation without being harsh to the skin.
Delicate Rose 100gm Sugar body scrub gives your skin gentle exfoliation, evens out skin tone and helps it become brighter and lighter.
We do not test our products on Animals","https://bryanandcandy.com/cdn/shop/products/Copyof20220306-DSC02450_1024x.jpg?v=1652164301
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC03647_1024x.jpg?v=1658752480
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04373-3_ef30f61e-bec2-4e4c-b0ff-957929611b44_1024x.jpg?v=1658752480
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04799-8_1024x.jpg?v=1658752422
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04870-22_1024x.jpg?v=1658752422
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04740-1_1024x.jpg?v=1658752422",Bryan & Candy,Gifting,14870279946325
Orange & Mandarin Tub Kit," 1,120.00","Orange & Mandarin 300ml Bath & Shower Gel. Empower your body and skin with the finest shower essentials, every morning

Orange & Mandarin 125ml Moisturising hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you

Orange & Mandarin 100gm Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.

Orange & Mandarin 100gm Sugar body scrub that gives your skin gentle exfoliation, evens out skin tone and helps it become brighter and lighter
We do not test our products on Animals.","https://bryanandcandy.com/cdn/shop/products/Copyof20220309-DSC047811080_1024x.jpg?v=1657005770
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04472_1024x.jpg?v=1657005770
https://bryanandcandy.com/cdn/shop/products/CopyofDSC05803-3_1024x.jpg?v=1657005770
https://bryanandcandy.com/cdn/shop/products/CopyofDSC05913-10_1024x.jpg?v=1657005770
https://bryanandcandy.com/cdn/shop/products/WhatsAppImage2022-07-08at11.36.54AM_1024x.jpg?v=1657260463
https://bryanandcandy.com/cdn/shop/products/CopyofDSC05939-13_1024x.jpg?v=1657260436",Bryan & Candy,Gifting,14870279946325
Green Tea Small Tub Kit," 1,120.00","300ml Bath & Shower Gel. Empower your body and skin with the finest shower essentials, every morning.
125ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you
100gm Body polish that natural exfoliating bead that is smooth and gives balanced exfoliation without being harsh to the skin.

100gm Sugar body scrub that gives your skin a gentle exfoliation, evens skin tone and helps it become brighter and lighter.
DERMATOLOGICALLY TESTED – Paraben Free, Suitable for all skin types.
CRUELTY-FREE – We love animals and Do Not Test our products on Animals.","https://bryanandcandy.com/cdn/shop/products/Copyof20220306-DSC02396_1024x.jpg?v=1652163733
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04249_1024x.jpg?v=1655977831
https://bryanandcandy.com/cdn/shop/products/Copyof20220306-DSC02431_1024x.jpg?v=1655977868
https://bryanandcandy.com/cdn/shop/products/CopyofDSC05799_1024x.jpg?v=1655977880
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04659_1024x.jpg?v=1655977892
https://bryanandcandy.com/cdn/shop/products/Copyof20220306-DSC02417_1024x.jpg?v=1655977901",Bryan & Candy,Gifting,14870279946325
Face Care Tub Kit," 1,522.00","200ml Face & Beard Wash : Gentle on the skin and effective enough to work on a rough, coarse beard; Conditions stubble and soothes irritation
30ml Beard Oil : Soften Stiff, Brittle, & Unruly Beards: Growing out a beard is an ultra-manly thing to do, but spending hours on end grooming your beard isn’t. Bryan & Candy Beard Oil penetrates every single hair in your beard to provide for smoothness and manageability.
50gm Face & Beard Moisturizer : lightweight care moisturizes your skin all day long without leaving your skin or beard feeling greasy
100gm Clay Face Mask : Exfoliates & lightens dark spots – Also reduces inflammation, pimples, acne & other bothersome skin concerns. It acts as overall skins detox, and helps in reducing pigmentation.
100gm De Tan Face Scrub : This De Tan Face scrub gently exfoliate the delicate facial skin , It scrubs away the impurities and reveals a clear, glowing skin that looks fresh and youthful, and nourished.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC03292_1024x.jpg?v=1652248170
https://bryanandcandy.com/cdn/shop/products/WhatsAppImage2022-07-01at3.58.46PM_1024x.jpg?v=1656671591
https://bryanandcandy.com/cdn/shop/products/WhatsAppImage2022-07-01at3.58.46PM_4_1024x.jpg?v=1656671614
https://bryanandcandy.com/cdn/shop/products/WhatsAppImage2022-07-01at3.58.46PM_1_1024x.jpg?v=1656671650
https://bryanandcandy.com/cdn/shop/products/WhatsAppImage2022-07-01at3.58.46PM_2_1024x.jpg?v=1656671676
https://bryanandcandy.com/cdn/shop/products/WhatsAppImage2022-07-01at3.58.46PM_3_1024x.jpg?v=1658730347",Bryan & Candy,Gifting,14870279946325
Lavender & Vanilla Cream Heart Kit, 630.00,"150ml Luxury Shower Gel, created by blending the finest Lavender And Vanilla Cream Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.
140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
100gm Face & Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.
We love animals and so we Do Not Test our products on Animals.","https://bryanandcandy.com/cdn/shop/products/Copyof20220307-DSC02499edit21080_3c81286c-0461-482f-8d83-20bdf10f4f67_1024x.jpg?v=1661589273
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04306_1024x.jpg?v=1661589273
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04367_c342d525-26e5-463a-a80e-10384cc628ff_1024x.jpg?v=1661589273
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04360_1024x.jpg?v=1661589273
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04526_1024x.jpg?v=1661589273
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04521_1024x.jpg?v=1661589273",Bryan & Candy,Gifting,14870279946325
Delicate Rose Heart Kit, 665.00,"150ml Luxury Face Wash, created by blending the finest Rose Extracts. Experience a true, invigorating luxury that stays with you, throughout the day.
150ml  Bath & Shower Gel that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
100 gm Delicate Rose Body Butter that deep moisturizes, wonderfully softens and smooths dry cracked skin.
Paraben Free, Cruelty-free. Suitable for all skin types.","https://bryanandcandy.com/cdn/shop/files/Delicate-Rose-Heart-Kit-Bryan-_-Candy-34294156_1024x.jpg?v=1697217858
https://bryanandcandy.com/cdn/shop/files/2-Website-Listing-Rose-Heart-Kit-FINAL-with-loofah_1024x.jpg?v=1689921509
https://bryanandcandy.com/cdn/shop/files/4-Website-Listing-Rose-Heart-Kit-FINAL-with-loofah_1024x.jpg?v=1689919707
https://bryanandcandy.com/cdn/shop/files/Delicate-Rose-Heart-Kit-Bryan-_-Candy-34294483_1024x.jpg?v=1697219666
https://bryanandcandy.com/cdn/shop/files/Delicate-Rose-Heart-Kit-Bryan-_-Candy-34294595_1024x.jpg?v=1697220274
https://bryanandcandy.com/cdn/shop/files/Delicate-Rose-Heart-Kit-Bryan-_-Candy-34294623_1024x.jpg?v=1697220818",Bryan & Candy,Gifting,14870279946325
Luxurious Shower Gel Combo Kit Gift Set For Women and Men, 525.00,"Bath & Shower Gels of 100ml each with five different fragrances that will make you smell like a dream. 
Get up, detoxify and conquer the world with Bryan & Candy’s Luxury Shower Essentials.
All products are enriched with natural ingredients and Bryan & Candy’s signature collection of three most popular fragrances for women.
A delightful gift for someone who deserves to be pampered with luxuries.

Hydrating & Nourishing: Experience deep hydration and nourishment with our luxurious shower gel.


Refreshing Fragrances: Indulge in a variety of invigorating scents, from soothing lavender to zesty lemon.


Gentle Cleansing: Gently cleanse and purify your skin, removing impurities without stripping away moisture.


pH 5.5 Balanced: Maintain your skin's natural pH level for a healthier and more radiant complexion.


Skin Rejuvenation: Rejuvenate your skin with each shower, leaving it feeling refreshed and revitalized.


Soothing & Relaxing: Unwind and relax with the calming benefits of our shower gel, promoting tranquility.


Creamy Lather: Enjoy a luxurious bathing experience with a rich, creamy lather that envelops your skin.


Radiant Glow: Achieve a radiant and healthy glow as our shower gel leaves your skin soft and supple.


Cruelty-Free Formula: Our shower gel is never tested on animals, ensuring guilt-free pampering.


Travel-Friendly: Conveniently sized at 100ml each, perfect for on-the-go indulgence wherever you wander.","https://bryanandcandy.com/cdn/shop/files/Pack-of-5-Shower-Gel-mini-bottle-2_1024x.jpg?v=1690890850
https://bryanandcandy.com/cdn/shop/files/Pack-of-5-Shower-Gel-mini-bottle-4_1024x.jpg?v=1691649457
https://bryanandcandy.com/cdn/shop/files/Pack-of-5-Shower-Gel-mini-bottle-3_1024x.jpg?v=1691649457
https://bryanandcandy.com/cdn/shop/files/Pack-of-5-Shower-Gel-mini-bottle-6_1024x.jpg?v=1691649457
https://bryanandcandy.com/cdn/shop/files/Pack-of-5-Shower-Gel-mini-bottle_1024x.jpg?v=1691649457",Bryan & Candy,Gifting,14870279946325
Black Currant & French Vanilla Heart Kit, 630.00,"150ml Luxury Bath & Shower Gel , created by blending the finest Black Currant And French Vanilla Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.
140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
100gm Face & Body Polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.
Paraben Free, Cruelty free. Suitable for all skin types.","https://bryanandcandy.com/cdn/shop/products/Copyof20220307-DSC02503edit41080_709061c7-c57b-44ff-a9e2-2695c3cbd82c_1024x.jpg?v=1661589207
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04325_1024x.jpg?v=1661589207
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04456_1024x.jpg?v=1661589207
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04557_1024x.jpg?v=1661589207
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC05991_1024x.jpg?v=1661589207",Bryan & Candy,Gifting,14870279946325
Strawberry White Heart Kit, 630.00,"150ml Bath & Shower Gel, created by blending the finest Strawberry Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.

140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.

100gm Face & Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.

Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.

We love animals and so we Do Not Test our products on Animals.","https://bryanandcandy.com/cdn/shop/files/Strawberry-Heart-Kit_1024x.jpg?v=1704192863
https://bryanandcandy.com/cdn/shop/files/Strawberry-Heart-Kit-2_1024x.jpg?v=1704192876
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC03843_1024x.jpg?v=1704192863
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC03805_1024x.jpg?v=1704192863
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC05834_1024x.jpg?v=1704192863",Bryan & Candy,Gifting,14870279946325
Cocoa shea White Heart Kit, 630.00,"150ml Bath & Shower Gel created by blending the finest Cocoa Shea Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.
140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
100gm Face & Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.
Paraben Free, Cruelty free. Suitable for all skin types.","https://bryanandcandy.com/cdn/shop/products/Copyof20220307-DSC02504_1024x.jpg?v=1652160949
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04045_1024x.jpg?v=1653204882
https://bryanandcandy.com/cdn/shop/products/CopyofDSC04638_1024x.jpg?v=1653204882
https://bryanandcandy.com/cdn/shop/products/CopyofDSC00312_1024x.jpg?v=1653204882
https://bryanandcandy.com/cdn/shop/products/Copy-of-DSC04610_1024x.jpg?v=1653204620",Bryan & Candy,Gifting,14870279946325
Basil & Lime Heart Kit, 630.00,"150ml Luxury Bath & Shower Gel , created by blending the finest Basil And Lime Extracts. Experience a true, invigorating luxury that stays with you, all throughout the day.
140ml Moisturizing hand and body lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
100gm Face & Body polish that natural exfoliating bead are smooth and gives balanced exfoliation without being harsh to the skin.
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regime.
Paraben Free, Cruelty free. Suitable for all skin types.","https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_1_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_2_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_3_1024x.jpg?v=1654773975
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_4_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_5_1024x.jpg?v=1654773974
https://bryanandcandy.com/cdn/shop/products/basil_lime_heart_Kit_6_1024x.jpg?v=1654773975",Bryan & Candy,Gifting,14870279946325
Pink Heart Kit, 980.00,"300ml Luxury Body Wash, created by blending the finest sandalwood and wild figs. Experience a true, invigorating luxury that stays with you, all throughout the day.
125ml Indulgent Moisturizing Hand & Body Lotion that will alleviate the effects of unkind weather and bring out a bright and sparkling you.
300ml Refreshing Shower Gel, an emulsion of water and mild cleanser with added fragrance to pamper you. Empower your body and skin with the finest shower essentials, every morning
150g Ultra Moisturizing Soap with the goodness of Shea butter, Aloe Vera, Almond oil, Olive oil and Glycerin nourishes your skin to become ultra-soft, smooth & silky
Also includes a Luxury Loofah. This soft & fluffy loofah gently exfoliates dirt and dead cells & is the perfect ally for your daily grooming regimen.","https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_1_1024x.jpg?v=1649686110
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_2_1024x.jpg?v=1649686111
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_3_1024x.jpg?v=1649686111
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_4_1024x.jpg?v=1649686111
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_5_1024x.jpg?v=1649686110
https://bryanandcandy.com/cdn/shop/products/BRYAN00000048_6_1024x.jpg?v=1649686111",Bryan & Candy,Gifting,14870279946325
