title,category,subcategory,price,description,description_all,main_image_url,all_image_urls,id
Citronella - Anti Mosquito Room Spray,Home Fragrance,Room Spray,150.00,"CITRONELLA
Anti-Mosquito Room Spray
Soft, Subtle, yet invigorating - the beautiful scent of this room freshener is all this and more. Spray a little and let it work its magic on the ambience of any room.","Content
8ml.
Story
Citronella oil has the innate property of repelling mosquitoes and insects by blocking out the scent
that attracts them. This 100% natural product is formulated with a unique blend of citronella oil,
lemon and lemongrass leaves extracts. The eco-friendly and DEET-free products emit a soothing fresh
and lemony fragrance, creating a pleasant, non-toxic environment for humans and animals alike.
How to Use
Avoid eye contact. If eye contact occurs, rinse well with warm water Avoid heat or flame. Keep out
of reach of children and pets. Avoid direct contact with food products.
",Ссылка на фото товара не найдена.,,1691920450038
Nagpuri Narangi - Orange Organic Fragrance Spray,Home Fragrance,Room Spray,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! This tantalizing citrusy scent of fresh oranges infuses the ambience with its vibrant energy and vitality. Its fragrance works like a charm to uplift and rejuvenate the mind.","Content
12 ml. highly scented spray
Description
FRAGRANCE:  Nagpuri Narangi / Orange. This tantalizing citrusy scent of fresh oranges infuses the
ambience with its vibrant energy and vitality. Its fragrance works like a charm to uplift and
rejuvenate the mind.
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12or_.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12or_.jpg,1691920454161
Madurai Jasmine Organic Fragrance Spray,Home Fragrance,Room Spray,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! Nothing beats the beautiful scent of jasmine blossoms and fresh mogra. Its soft, delicate floral note infuses the ambience with a lovely lingering fresh fragrance.","Content
12 ml highly scented spray.
Description
FRAGRANCE: Madurai Jasmine / Chameli / Motia / Mogra. Nothing beats the beautiful scent of jasmine
blossoms and fresh mogra. Its soft, delicate floral note infuses the ambience with a lovely
lingering fresh fragrance.
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12ja_.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12ja_.jpg,1691920461432
Patchouli Vanilla Organic Fragrance Spray,Home Fragrance,Room Spray,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! The rich blend of creamy vanilla and calming patchouli will make you feel relaxed and revitalized. Pamper yourself with this luxurious scent after a hard day at work.","Content
12 ml highly scented spray
Description
FRAGRANCE: Patchouli Vanilla. The beautiful blend of patchouli and vanilla is sweet, earthy and
absolutely magical! You are definitely going to be charmed by the mystical appeal of this fragrance.
Ingredients
Organic essential oils & . Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-pav.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-pav.jpg,1691920466111
Dehn Al Oudh - Agarwood Organic Fragrance Spray,Home Fragrance,Room Spray,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! Its luxurious, rich and heavenly aroma makes this our signature scent. The warm and inviting woody scent of this oudh fragrance is definitely a class apart.","Content
12 ml highly scented spray
Description
FRAGRANCE: Dehn Al Oudh / Oud / Agarwood / Aloeswood. Its luxurious, rich and heavenly aroma makes
this our signature scent. The warm and inviting woody scent of this oudh fragrance is definitely a
class apart.
Ingredients
Organic essential oils &  Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-oo_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-oo_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-oo_1.jpg",1691920471188
Desi Gulab - Rose Organic Fragrance Spray,Home Fragrance,Room Spray,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! Velvety to touch, and heavenly to smell – the desi gulab is an all time favourite. The subtle fragrance of rose is wonderfully fresh. One whiff of this romantic floral note and we are sure you’ll fall in love with it.","Content
12 ml room spray
Description
FRAGRANCE: Desi Gulab / Rose. Exquisite organic rose fragrance accentuates the ambience with a
subtle and lingering scent. One whiff of this romantic floral note and we are sure you’ll fall in
love with it.
Story
.
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs)
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-gu.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-gu.jpg,1691920476623
Mysore Chandan - Sandalwood Organic Fragrance Spray,Home Fragrance,Room Spray,225.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic! The captivating scent of sandalwood soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil.","Content
12 ml highly scented spray with Gold spray
Description
FRAGRANCE: Mysore Chandan / Sandalwood / Sandal / Santal. The captivating scent of sandalwood
soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of
calm and tranquil
Ingredients
Organic essential oils & Non-toxic and 100% natural. Free of chlorofluorocarbons (CFCs).
How to Use
Comes in a convenient & easy-to-use spray bottle with golden pump and cap.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours.  Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-cn.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orfs12-cn.jpg,1691920481512
Tuberose Jasmine Ayurveda Room Freshener,Home Fragrance,Room Spray,295.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic. The captivating scent soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil.","Content
50 ml highly scented room spray.
Description
FRAGRANCE: Tuberose Jasmine (Uplifting and Anti-Stress). Notes of fresh Indian Jasmine flowers
combine fabulously with white blossoms of tuberose to form this uplifting and stress relieving
fragrance.
Story
WHO IS A VATA? Enthusiastic, light and creative with an athletic built. They sometimes get restless
or suffer from sleeping disorders.
Ingredients
Natural essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Captivating scent that soothes your senses, freshens the air and helps eliminate bad odor. Ideal for
your home, linen, car, room, living space and washroom. Long lasting and concentrated room
freshener.
Olfactory Note
Comes in a convenient & easy-to-use spray bottle with golden spray pump and cap.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50-tuja.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50-tuja.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50tuja.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50-tuja1.jpg",1691920486960
Sage Mint  Ayurveda Room Freshener,Home Fragrance,Room Spray,295.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic. The captivating scent soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil.","Content
50 ml highly scented room spray.
Description
FRAGRANCE:  Sage Mint (Cleansing and Recharging).The Earthy blend of holy sage cleanses the
surroundings, while the cooling properties of mint leaves keep you charged and invigorated all day.
Story
WHO IS A KAPHA? Calm, loving and understanding with an impressive built, and well defined features.
They may exhibit tendencies to over-eat, avoid exercise and sleep excessively
Ingredients
Natural essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Captivating scent that soothes your senses, freshens the air and helps eliminate bad odor. Ideal for
your home, linen, car, room, living space and washroom. Long lasting and concentrated room
freshener.
Olfactory Note
PACKAGING: Comes in a convenient & easy-to-use spray bottle with golden spray pump and cap.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50sgmt.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50sgmt.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50_sgmt_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50sgmt1.jpg",1691920493076
Lavender Lemongrass Ayurveda Room Freshener,Home Fragrance,Room Spray,295.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic. The captivating scent soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil.","Content
50 ml highly scented room spray.
Description
FRAGRANCE: Lavender Lemongrass (Calming and Refreshing).The wonderful balance between the calming
power of Lavender and the refreshing essence of citrusy lemongrass make it the ideal essential oil
blend for tridosha.
Story
WHO IS A TRIDOSHA? Inherently at ease, harmonious individuals, exuberating a natural balance.
Usually of medium built, they have an ideal physique. They may fear the unknown and find it
difficult to manage extremely stressful situations.
Ingredients
Natural essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Captivating scent that soothes your senses, freshens the air and helps eliminate bad odor. Ideal for
your home, linen, car, room, living space and washroom. Long lasting and concentrated room
freshener.
Olfactory Note
Comes in a convenient & easy-to-use spray bottle with golden spray pump and cap.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50lvlg.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50lvlg.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50lvlg1.jpg",1691920499865
Aqua Oud  Ayurveda Room Freshener,Home Fragrance,Room Spray,295.00,"Made with natural essential oils, the soft lingering fragrance of the room spray will gently diffuse into the ambience. Spray a little of this, and let it work its magic. The captivating scent soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil.","Content
50 ml highly scented room spray.
Description
FRAGRANCE: Aqua Oud (Cooling and Soothing). The sophisticated and cooling aqua notes combine
perfectly with the irresistible warm and soothing fragrance of Assam agarwood oil.
Story
WHO IS A PITTA? Logical and focused, usually of average height and a muscular built. May suffer from
fits of anger and find it difficult to relax.
Ingredients
Natural essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Captivating scent that soothes your senses, freshens the air and helps eliminate bad odor. Ideal for
your home, linen, car, room, living space and washroom. Long lasting and concentrated room
freshener.
Olfactory Note
Comes in a convenient & easy-to-use spray bottle with golden spray pump and cap.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50aqoo.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50aqoo.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50_aqoo_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvrf50aqoo1.jpg",1691920505562
Citronella – Anti Mosquito Room Freshener,Home Fragrance,Room Spray,375.00,"Citronella – Anti Mosquito Room Freshener
This spray is the perfect way to keep mosquitoes at bay and enjoy the lemony fresh scent of essential oils. Citronella has the innate property to repel mosquitoes and insects.","Content
100 ml.
Story
Citronella oil has the innate property of repelling mosquitoes and insects by blocking out the scent
that attracts them. This 100% natural product is formulated with a unique blend of citronella oil,
lemon and lemongrass leaves extracts. The eco-friendly and DEET-free products emit a soothing fresh
and lemony fragrance, creating a pleasant, non-toxic environment for humans and animals alike.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/c/t/ctrf100_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/c/t/ctrf100_1.jpg,1691920513697
Honeysuckle Room Freshener Spritz,Home Fragrance,Room Spray,425.00,"Honeysuckle. Flittering from flower to flower, lapping up the sweet nectar of honeysuckle blossoms as the sun slowly rises up the sky, the bees seem most content. These lovely honeysuckle flowers smell as beautiful as they look. One of the most loved fresh floral fragrances, this scent is pure pleasure for the senses.","Weight
0.284000
Content
100 ml highly scented room spray.
Description
Spreading cheer with little sprays of charming fragrance! Just a few sprays of our room freshener,
and we are sure its lovely scent will put a smile on your face. Infused with pure essential oils,
our room freshener is perfect to spruce up your happy spaces with our delightful scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
Ingredients
Natural fragrance oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-hs.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-hs.jpg,1691920520165
