title,category,subcategory,price,description,description_all,main_image_url,all_image_urls,id
Sea Breeze Room Freshener Spritz,Home Fragrance,Room Spray,425.00,"Sea Breeze. Soft, gentle, yet full of vigor and life, the sea breeze makes you feel so alive! One whiff of this perky fragrance is all you need to brighten-up your day, as this fresh, vivacious note infuses energy into the body, mind and soul. This scent will take you to a bright beautiful day by the sea.","Weight
0.284000
Content
100 ml highly scented room spray.
Description
Spreading cheer with little sprays of charming fragrance! Just a few sprays of our room freshener,
and we are sure its lovely scent will put a smile on your face. Infused with pure essential oils,
our room freshener is perfect to spruce up your happy spaces with our delightful scent. Comes in a
convenient & easy-to-use spray bottle with golden pump and lock. A beautifully hand-tied bow adorns
the neck of the jar.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
Ingredients
Natural fragrance oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-se.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-se.jpg,1691920526186
Neroli Bergamot Room Freshener Spritz,Home Fragrance,Room Spray,425.00,Neroli Bergamot. Few fragrances are fresher than the invigorating scent of the bright and vibrant orange blossoms of neroli. That's probably why this fragrance is an all-time favourite! It's cheerful scent instantly perks up the mind with its zesty citrus note.,"Weight
0.284000
Content
100 ml highly scented room spray.
Description
Spreading cheer with little sprays of charming fragrance! Just a few sprays of our room freshener,
and we are sure its lovely scent will put a smile on your face. Infused with pure essential oils,
our room freshener is perfect to spruce up your happy spaces with our delightful scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
Ingredients
Natural fragrance oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-nebe.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-nebe.jpg,1691920532883
Lily of the Valley Room Freshener Spritz,Home Fragrance,Room Spray,425.00,"Lily of the Valley. Floating on the soft breeze of the English countryside, the delicate scent of dainty little lily blossoms just wonderfully uplifts the natural beauty of their surroundings. One of nature’s most beloved fragrance, it’s hard not to fall in love with this dreamy note.","Weight
0.284000
Content
100 ml highly scented room spray.
Description
Spreading cheer with little sprays of charming fragrance! Just a few sprays of our room freshener,
and we are sure its lovely scent will put a smile on your face. Infused with pure essential oils,
our room freshener is perfect to spruce up your happy spaces with our delightful scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
Ingredients
Natural fragrance oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-ly.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-ly.jpg,1691920538480
Ivory Musk Room Freshener Sptriz,Home Fragrance,Room Spray,425.00,"Ivory Musk. Precious and rare, this exquisite fragrance was once exclusively used only by the Indian royalty. For centuries, this has been one of the most coveted scents. You will find the luxe aroma of this signature scent to be sensuous and captivating.","Weight
0.284000
Content
100 ml highly scented room spray.
Description
Spreading cheer with little sprays of charming fragrance! Just a few sprays of our room freshener,
and we are sure its lovely scent will put a smile on your face. Infused with pure essential oils,
our room freshener is perfect to spruce up your happy spaces with our delightful scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
Ingredients
Natural fragrance oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-iv.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-iv.jpg,1691920544851
French Lavender Room Freshener Spritz,Home Fragrance,Room Spray,425.00,"French Lavender. Stretching majestically over the purple lavender fields of French landscapes, these beautifully slender flowers infuse the crisp air with a heavenly fragrance. Their smell almost mesmerizes you into a happy trance. This scent will transport you to summertime in Provence de France.","Weight
0.284000
Content
100 ml highly scented room spray.
Description
Spreading cheer with little sprays of charming fragrance! Just a few sprays of our room freshener,
and we are sure its lovely scent will put a smile on your face. Infused with pure essential oils,
our room freshener is perfect to spruce up your happy spaces with our delightful scent.
Story
Little Pleasures The morning dew drops sparkle bright in the rays of the sun, colourful butterflies
dance from flower to flower as the soft spring breeze blows gently over fresh blooms, filling the
atmosphere with their sweet fragrance. You stand there soaking it all in, reveling in the little
pleasures of life! Inspired from nature and its goodness, we bring to you an incredible selection of
charming fragrances. Vibrant, fresh and new, this range is sure to captivate your heart and make you
smile.
Ingredients
Natural fragrance oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid Heat or flame. Keep out of reach of children and pets. Avoid direct contact with food
products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-lv_2.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-lv_2.jpg,1691920550332
Patchouli Vanilla Organic Room Spray with Essential Oil,Home Fragrance,Room Spray,450.00,"Patchouli Vanilla. The beautiful blend of patchouli and vanilla is sweet, earthy and absolutely magical! You are definitely going to be charmed by the mystical appeal of this fragrance.","Weight
0.286000
Content
100 ml highly scented room spray
Description
For the happiness that fragrance spreads. Made with love!  Spray a little of this, and let it work
its magic!
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
Ingredients
Organic essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid eye contact. If eye contact occurs, rinse well with warm water Avoid heat or flame. Keep out
of reach of children and pets. Avoid direct contact with food products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-pav_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-pav_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-pav1_.jpg",1691920554854
Nagpuri Narangi - Orange Organic Room Spray with Essential Oil,Home Fragrance,Room Spray,450.00,Nagpuri Narangi / Orange. This tantalizing citrusy scent of fresh oranges infuses the ambience with its vibrant energy and vitality. Its fragrance works like a charm to uplift and rejuvenate the mind.,"Weight
0.286000
Content
100 ml highly scented room spray.
Description
For the happiness that fragrance spreads. Made with love!  Spray a little of this, and let it work
its magic!
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
Ingredients
Organic essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid eye contact. If eye contact occurs, rinse well with warm water Avoid heat or flame. Keep out
of reach of children and pets. Avoid direct contact with food products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-or_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-or_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-or_1.jpg",1691920562606
Mysore Chandan - Sandalwood Organic Room Spray with Essential Oil,Home Fragrance,Room Spray,450.00,Mysore Chandan / Sandalwood / Sandal / Santal. The captivating scent of sandalwood soothes all the senses and relaxes the mind. This fragrance transports you to a blissful state of calm and tranquil.,"Weight
0.286000
Content
100 ml highly scented room spray.
Description
For the happiness that fragrance spreads. Made with love!  Spray a little of this, and let it work
its magic!
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
Ingredients
Organic essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid eye contact. If eye contact occurs, rinse well with warm water Avoid heat or flame. Keep out
of reach of children and pets. Avoid direct contact with food products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-cn_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-cn_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-cn_1.jpg",1691920571635
Madurai Jasmine Organic Room Spray with Essential Oil,Home Fragrance,Room Spray,450.00,"Madurai Jasmine / Chameli / Motia / Mogra. Nothing beats the beautiful scent of jasmine blossoms and fresh mogra. Its soft, delicate floral note infuses the ambience with a lovely lingering fresh fragrance.","Weight
0.286000
Content
100 ml highly scented room spray
Description
For the happiness that fragrance spreads. Made with love!  Spray a little of this, and let it work
its magic!
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
Ingredients
Organic essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs)
How to Use
Avoid eye contact. If eye contact occurs, rinse well with warm water Avoid heat or flame. Keep out
of reach of children and pets. Avoid direct contact with food products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-ja_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-ja_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-ja_1.jpg",1691920578838
Desi Gulab - Rose Organic Room Spray with Essential Oil,Home Fragrance,Room Spray,450.00,Desi Gulab / Rose. Exquisite organic rose fragrance accentuates the ambience with a subtle and lingering scent. One whiff of this romantic floral note and we are sure you’ll fall in love with it.,"Weight
0.286000
Content
100 ml highly scented room spray
Description
For the happiness that fragrance spreads. Made with love!  Spray a little of this, and let it work
its magic!
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
Ingredients
Organic essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs)
How to Use
Avoid eye contact. If eye contact occurs, rinse well with warm water Avoid heat or flame. Keep out
of reach of children and pets. Avoid direct contact with food products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-gu.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-gu.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-gu1.jpg",1691920584718
Dehn Al Oudh - Agarwood Organic Room Spray with Essential Oil,Home Fragrance,Room Spray,450.00,"Dehn Al Oudh / Oud / Agarwood / Aloeswood. Its luxurious, rich and heavenly aroma makes this our signature scent. The warm and inviting woody scent of this oudh fragrance is definitely a class apart.","Weight
0.286000
Content
100 ml highly scented room spray
Description
For the happiness that fragrance spreads. Made with love! Spray a little of this, and let it work
its magic!
Story
Organic Goodness It's all about going back to the roots to discover the true joys of life. For the
blissful scent of rose and jasmine will always bring a smile to your lips, the potent goodness of
sandalwood and patchouli will warm your heart, and the freshness of orange transports you back to a
joyous childhood. Going back to these basics, we believe in making beautiful products, rich in
organic ingredients and handmade with love. Together, these herbal products are not only the key to
a healthy organic lifestyle, but also strengthen our bond with our roots with all that is beautiful
and natural.
Ingredients
Organic essential oils & sugarcane alcohol. Non-toxic and 100% natural. Free of chlorofluorocarbons
(CFCs).
How to Use
Avoid eye contact. If eye contact occurs, rinse well with warm water Avoid heat or flame. Keep out
of reach of children and pets. Avoid direct contact with food products.
Olfactory Note
Captivating scent that soothes your senses. Freshens air and helps eliminate odours. Ideal for your
home, linen, car, room, living space and washroom.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-oo_.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/o/r/orrf100-oo_.jpg,1691920590853
Lemongrass Ginger Room Freshener Spritz,Home Fragrance,Room Spray,425.00,,,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-lgi.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/p/lprf100-lgi.jpg,1691920596353
